|Company Name|Company Code|Company Code KL|URL|Market Cap|Last Price|Price/Earning|Divident Yield|Return of Equity|Market Cap Float
34|IOIPG|5249|5249.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=5249|5.947b|1.08|8.87|2.78|3.55|5947000000.0
76|SIMEPROP|5288|5288.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=5288|4.625b|0.68|13.31|4.41|3.62|4625000000.0
79|SPSETIA|8664|8664.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=8664|3.861b|0.96|11.14|1.05|2.87|3861000000.0
92|UOADEV|5200|5200.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=5200|3.541b|1.80|8.86|7.78|7.87|3541000000.0
58|MRCB|1651|1651.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=1651|2.471b|0.56|103.70|1.79|0.50|2471000000.0
33|IGBB|5606|5606.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=5606|2.221b|2.50|10.64|1.20|4.43|2221000000.0
91|UEMS|5148|5148.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=5148|2.178b|0.48|9.74|0.00|3.06|2178000000.0
63|OSK|5053|5053.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=5053|1.771b|0.85|4.45|5.92|7.84|1771000000.0
95|YNHPROP|3158|3158.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=3158|1.471b|2.78|34.88|0.00|3.62|1471000000.0
16|ECOWLD|8206|8206.KL|https://www.malaysiastock.biz/Corporate-Infomation.aspx?securityCode=8206|1.443b|0.49|6.98|0.00|4.53|1443000000.0
