,Stock,Alpha,Beta,Start_Date,End_Date,Date_diff
0,8206.KL,0.003298116134990959,0.5256760869319953,2010-01-05,2018-01-30,2947 days 00:00:00.000000000
1,5606.KL,0.0024811268778334723,-0.2761406366084159,2010-03-08,2018-01-30,2885 days 00:00:00.000000000
2,8664.KL,0.0003474456079740759,0.006457669611924852,2010-01-05,2018-01-30,2947 days 00:00:00.000000000
3,3158.KL,0.00033968056247200655,0.11664377392913813,2010-01-05,2018-01-30,2947 days 00:00:00.000000000
4,1651.KL,0.00032254560636478703,-0.09106758253667649,2010-01-05,2018-01-30,2947 days 00:00:00.000000000
5,5200.KL,0.00020845004612536833,-0.029036616420915897,2011-06-09,2020-05-27,3275 days 00:00:00.000000000
6,5053.KL,0.0001232515362717736,0.05936713396384992,2010-01-05,2018-01-30,2947 days 00:00:00.000000000
7,5148.KL,-0.00011775018148796654,0.0540265751201246,2010-01-05,2020-05-27,3795 days 00:00:00.000000000
8,5249.KL,-0.00034586314824108723,0.1076065107426413,2014-01-16,2020-05-27,2323 days 00:00:00.000000000
9,5288.KL,-0.0005240750694708527,-0.09763580230796098,2017-12-01,2020-05-27,908 days 00:00:00.000000000
